rawPosX;rawPosY;rawPosZ;rawRotX;rawRotY;rawRotZ;rawRotW
0.406659;0.13413;0.711859;-0.0712245;-0.668019;-0.212456;0.709606
0.120442;0.204345;0.730845;0.00796456;0.495883;0.311647;0.810502
0.406592;0.134179;0.712112;-0.0695394;-0.669183;-0.212215;0.708748
0.124754;0.203281;0.73919;-0.004403;0.499186;0.318937;0.80565
0.406215;0.134452;0.712408;-0.0672271;-0.671109;-0.211488;0.707365
0.128746;0.202058;0.748189;-0.0160003;0.501355;0.32207;0.802906
0.406004;0.134548;0.712644;-0.0649768;-0.673239;-0.210106;0.705962
0.132384;0.200187;0.758157;-0.0230653;0.506233;0.317934;0.80132
0.405849;0.134669;0.712785;-0.0632104;-0.674954;-0.209089;0.704786
0.135391;0.19823;0.768481;-0.0314666;0.511902;0.311983;0.799771
0.405796;0.13473;0.712756;-0.0619935;-0.675336;-0.208536;0.704693
0.138217;0.195696;0.778776;-0.0428246;0.514226;0.308127;0.799247
0.405757;0.134701;0.712714;-0.0612156;-0.674961;-0.208255;0.705202
0.139812;0.192768;0.789547;-0.0565462;0.514731;0.303743;0.799747
0.40571;0.134729;0.712721;-0.060516;-0.67438;-0.208112;0.70586
0.140797;0.190152;0.800934;-0.0683334;0.517593;0.297637;0.799275
0.405736;0.134745;0.712702;-0.0596644;-0.673559;-0.208304;0.70666
0.141842;0.187652;0.812142;-0.0787268;0.521925;0.291453;0.797779
0.405683;0.134739;0.71276;-0.0582371;-0.673284;-0.20784;0.707177
0.14179;0.184965;0.824189;-0.0900311;0.527662;0.282904;0.795885
0.405539;0.134827;0.712859;-0.0568369;-0.67346;-0.207193;0.707314
0.141189;0.182267;0.836303;-0.103041;0.530712;0.274938;0.79507
0.405347;0.134919;0.71296;-0.0548687;-0.675072;-0.206075;0.706258
0.140683;0.17981;0.84811;-0.116187;0.532764;0.266631;0.794714
0.405293;0.134936;0.712932;-0.0535702;-0.675856;-0.205322;0.705827
0.138712;0.177483;0.86058;-0.129141;0.532555;0.256261;0.796265
0.405227;0.134961;0.712975;-0.0527983;-0.676251;-0.204788;0.705662
0.13597;0.175403;0.873214;-0.140821;0.532507;0.244509;0.798011
0.405079;0.134974;0.71299;-0.0522397;-0.676046;-0.204796;0.705897
0.131871;0.173679;0.886021;-0.152749;0.533711;0.232551;0.798586
0.404988;0.134977;0.712973;-0.051527;-0.675601;-0.205161;0.70627
0.128321;0.171972;0.898436;-0.164836;0.536474;0.222368;0.797231
0.404731;0.134966;0.713152;-0.050962;-0.675218;-0.205264;0.706647
0.123526;0.17081;0.910872;-0.17627;0.539954;0.211542;0.795379
0.404657;0.134995;0.713115;-0.0501501;-0.67458;-0.205214;0.707329
0.118896;0.169771;0.923213;-0.186875;0.543014;0.199352;0.794023
0.40452;0.134999;0.713104;-0.0494776;-0.674419;-0.204992;0.707594
0.113698;0.169178;0.935028;-0.197091;0.545863;0.18755;0.792473
0.404365;0.135084;0.713061;-0.0485182;-0.673963;-0.20488;0.708128
0.106064;0.170776;0.944893;-0.206045;0.547921;0.175649;0.791502
0.404253;0.135132;0.713022;-0.0475922;-0.673313;-0.204878;0.708809
0.0997924;0.171495;0.955488;-0.213608;0.548175;0.163548;0.791914
0.404146;0.135277;0.71309;-0.0464707;-0.672394;-0.204813;0.709774
0.093967;0.172659;0.968297;-0.220817;0.547813;0.152226;0.792444
0.403962;0.135351;0.713251;-0.0446639;-0.671754;-0.204621;0.71055
0.0864898;0.174481;0.976947;-0.225603;0.544102;0.140887;0.795743
0.403711;0.135461;0.713477;-0.0422655;-0.671735;-0.204625;0.710714
0.0803419;0.175588;0.985954;-0.231876;0.54072;0.129637;0.798154
0.403481;0.135547;0.713684;-0.0396981;-0.672032;-0.205176;0.710422
0.073187;0.177175;0.994307;-0.235453;0.534693;0.120136;0.802641
0.403118;0.135656;0.714002;-0.0368963;-0.672326;-0.205958;0.710069
0.065877;0.17871;1.00199;-0.240012;0.529692;0.110067;0.806044
0.402662;0.135766;0.714409;-0.0338151;-0.672766;-0.206785;0.709565
0.0595013;0.180022;1.00848;-0.243333;0.522893;0.100616;0.810708
0.402295;0.135884;0.714783;-0.0307102;-0.673356;-0.207329;0.708987
0.0528166;0.180503;1.01516;-0.245858;0.516135;0.091396;0.815356
0.401843;0.136054;0.715168;-0.0269195;-0.673475;-0.208185;0.708778
0.0462782;0.181067;1.02103;-0.250107;0.508543;0.0829799;0.819722
0.401345;0.136169;0.71571;-0.022774;-0.674212;-0.208832;0.708031
0.0407767;0.181207;1.02689;-0.256928;0.500546;0.0768407;0.823126
0.400915;0.136275;0.716141;-0.018912;-0.674486;-0.209742;0.707616
0.0348984;0.180475;1.03185;-0.265631;0.490593;0.074956;0.826523
0.400358;0.136479;0.716775;-0.0145788;-0.673901;-0.21124;0.70783
0.0287141;0.180414;1.03672;-0.272263;0.480434;0.0710696;0.830666
0.399684;0.136687;0.717623;-0.00997509;-0.674307;-0.212954;0.707009
0.023239;0.179958;1.04032;-0.27312;0.472328;0.0662805;0.835415
0.399138;0.136939;0.718208;-0.00515015;-0.675804;-0.214116;0.705278
0.017175;0.179172;1.04362;-0.272723;0.469516;0.0625924;0.837412
0.398496;0.137204;0.718866;-0.00116448;-0.676942;-0.215099;0.703904
0.011351;0.178221;1.04658;-0.272231;0.468179;0.0608813;0.838446
0.397842;0.137433;0.719547;0.00315971;-0.677456;-0.216161;0.703078
0.00599122;0.177186;1.04946;-0.272358;0.465135;0.0596094;0.840189
